BAR kodas,Likutis,Likučio skirtumas,Mat.vnt.,Pr. grupės kodas,Prekės kodas,Prekės pavadinimas,Sandėlis,Sujungimo Tipas,TOPO Eugestos kiekis,TOPO Eugestos kodas,TOPO Eugestos pavadinimas,TOPO Eugestos trumpas pavadinimas
477902708199,9706.0,2804,Vnt.,TG077,403755.0,Maišelis 40/10x65 25mkr Topo centras/Euronics,LOG BENDRAS,Sujungta,12510,477902708199,Maišelis 40/10x65 25mkr Topo centras/Eur,40/10x65 25mkr T
477902708217,11550.0,2680,Vnt.,TG077,403756.0,Maišelis 35/10x60 25mkr Topo centras/Euronics,LOG BENDRAS,Sujungta,14230,477902708217,Maišelis 35/10x60 25mkr Topo centras/Eur,35/10x60 25mkr T
,0.0,1865,,,,,,Nerasta Eugestos ataskaitoje,1865,990113000094,Paletė vienkartinė,Paletė vienkarti
477902066011,1.0,508,Vnt.,TG077,402413.0,Distiliuotas vanduo 1 L,LOG BROKAS,Sujungta,509,477902066011,Distiliuotas vanduo 1 L,Distiliuotas van
400849610594,1.0,499,Vnt.,TG173,404027.0,"Elementai VARTA AA LR6, 4 vnt. / Max Tech Mignon",LOG TRŪKUMAS,Sujungta,500,400849610594,"Elementai VARTA AA LR6, 4 vnt. / Max Tec",Elementai VARTA 
477136700035,2980.0,400,Vnt.,TG077,403757.0,Maišelis 4/30x40 25mkr Topo centras/Euronics,LOG BENDRAS,Sujungta,3380,477136700035,Maišelis 4/30x40 25mkr Topo centras/Euro,Maišelis 4/30x40
761303315777,1.0,397,Vnt.,TG108,400704.0,Kakava NESCAFE Dolce Gusto Nesquik kapsulės 16 kaps. 256g.,LOG TRŪKUMAS,Sujungta,398,761303315777,Kavos kapsulės NESCAFE Dolce Gusto Nesqu,Dolce Gusto Nesq
761303302416,2.0,396,Vnt.,TG108,400703.0,Kava NESCAFE Dolce Gusto Caramel Latte Macchiato 8+8 kaps. 168 g,LOG BROKAS,Sujungta,398,761303302416,Kavos kapsulės NESCAFE Dolce Gusto Caram,Dolce Gusto Cara
421020116809,359.0,-354,Vnt.,TG022,402077.0,Plaukų kirpimo mašinėlė BRAUN HC5030+dovana,LOG BENDRAS,Sujungta,5,421020116809,Plaukų kirpimo mašinėlė BRAUN HC5030,HC5030
,0.0,318,,,,,,Nerasta Eugestos ataskaitoje,318,990113000040,Paletė EURO,Paletė EURO
690144321363,204.0,-204,Vnt.,TG057,421372.0,Išorinė baterija HUAWEI AP20,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
043917000237,192.0,-192,Vnt.,TG194,451905.0,Kūno skustuvas WAHL Micro Finish Trimmer 05640,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
871010385538,1.0,158,Vnt.,TG120,401928.0,Drabužių garintuvas PHILIPS GC361/20,LOG BROKAS,Sujungta,159,871010385538,Drabužių garintuvas PHILIPS Steam&Go GC3,Steam&Go GC361/2
761303216603,1.0,151,Vnt.,TG108,400719.0,Kava NESCAFE Dolce Gusto Grande 16 kaps 128g,LOG TRŪKUMAS,Sujungta,152,761303216603,Kavos kapsulės NESCAFE Dolce Gusto Grand,Dolce Gusto Gran
509920602728,6.0,148,Vnt.,TG090,402113.0,"Pelė LOGITECH M185, bevielė, pilka",LOG TRŪKUMAS,Sujungta,154,509920602728,"Pelė LOGITECH M185, bevielė, pilka","M185, bevielė, p"
761303161570,1.0,146,Vnt.,TG108,400715.0,"Kava NESCAFE Dolce Gusto Latte Macchiato nesaldinta 8 kaps., 168 g",LOG TRŪKUMAS,Sujungta,147,761303161570,Kava NESCAFE Dolce Gusto Latte Macchiato,Latte Macchiato 
711719236191,843.0,122,Vnt.,TG150,402450.0,Žaid. kortelė PSN CARD 20EUR Suomijos reg,LOG BENDRAS,Sujungta,965,711719236191,Žaid. kortelė PSN CARD 20 Eur Suomijos r,PSN CARD 20 Eur 
